richness,forest,wetland,x,y
9,0.255672132963233,0.50366141003669,228.951607822788,220.886944431353
6,0.644911410459628,0.117206805903474,227.671366224963,219.861329849732
5,0.5039905485024,0.632700276063605,228.825242647317,220.107306463101
3,0.598732862396518,0.243294205736217,229.277537864747,218.90353482465
2,0.760077519664696,0.116353831123995,209.243488725156,215.24141839558
10,0.686543417214699,0,210.414246586351,216.557947827045
3,0.839785092498975,0.015538612102486,213.35071759892,216.381539931761
9,0.545333226605267,0,211.953414484825,215.445025617645
11,0.236233553145835,0,211.185016871396,215.07926379672
12,0.683422057139334,0,213.858801163615,215.269940181558
16,0.833143045310801,0.010464518189639,213.568754058911,214.720146270391
4,0.386832798463236,0.917568925751701,218.606772119611,218.134452479666
3,0.237892620294049,0.294337397498728,222.004839916595,217.342196244754
2,0.326475560104635,0.33457840680573,225.365902766001,217.923120138243
4,0.247171095971234,0.353138240630657,222.437375678182,214.725705306434
12,0.432202454471177,0.066190146635152,225.404113305381,215.783186903379
3,0.054521149850561,0.00272450064386,224.017881092031,215.053837641996
1,0.41750622593567,0.552442874725074,209.653346959616,212.996029269656
1,0.09313453255658,0.247639982308695,212.287925228591,213.237901107881
3,0.242450857976134,0.016997179326783,212.598771245333,212.735224387849
7,0.070079594871794,0.044526867577727,213.284989649311,210.963997031485
5,0.205714668698186,0.149512096461684,216.345099675583,211.526611509655
4,0.846200300177145,0.0111289062932,217.546469383056,211.469112909554
5,0.806053764368796,0,219.479313939311,211.691102450403
9,0.897819687399119,0,218.641194283696,210.922435746684
15,0.317400629425931,0,222.82993507475,213.652823046323
10,0.162952614619299,0.06508764755234,225.862702553275,212.995897779714
5,0.359877554555672,0.493281465863541,211.977431431845,208.494158523398
14,0.538842307575382,0.165990434148626,213.683334402156,210.074828999357
12,0.732052631429766,0.011652167958043,214.554797236308,209.83968815767
9,0.636560029908448,0,215.977712049115,209.540641786538
6,0.73312707547674,0,216.918325265518,209.803694891518
8,0.582986838771166,0,217.686071317757,209.311901743298
13,0.806018714044108,0.03755755880632,217.445247110094,208.20885661315
15,0.373730549056661,0.088201342030938,214.962591384038,207.995466389849
19,0.898970754752079,0.005125478403177,215.729296183879,208.058930394162
14,0.59959511764381,0.061633296018803,214.884730953224,206.248005662967
13,0.991073776781543,0,215.814241121722,206.210811649605
4,0.963036796545212,0,216.886567361069,207.919480542808
9,1,0,217.020653277284,207.56411442246
11,0.925863396689083,0.005522322834792,216.200961837194,206.588854345183
12,0.893398991502121,0.071259282735658,217.997097307698,206.782924575421
14,0.905488214017747,0.037040375209397,218.478319770157,208.751644597396
9,0.628923508490665,0.243253293741298,219.541139605422,208.418450036094
12,0.44971977435466,0.307933324600955,220.257624379706,209.410394225975
16,0.930250400468735,0,218.649463569479,207.516463450777
7,0.959595359868729,0,219.989120836336,207.67922860353
18,0.938469181195725,0,218.343474617427,206.295339543295
5,0.709797251878674,0,219.619331102319,206.755302970919
1,0.078031204866893,0.317439942198598,222.312934317593,209.184763150297
6,0.130111982183339,0.34403246289178,225.031063409869,209.364909661708
1,0.191211522906989,0.064286245667469,225.028652517007,209.036222372677
3,0.327305963227021,0.145034049383414,223.636706463261,208.011649650444
7,0.241883186666779,0.075673299027012,209.09858030651,202.700542042886
10,0.104530469325793,0.286516734952814,212.32061580743,204.507528593538
8,0.105065242134117,0.724730319552925,210.114636519192,204.08843704771
6,0.272198713888069,0.035153852685559,217.612596377845,204.273174139911
7,0.681901746591088,0.197476817570095,218.785741977127,205.336217094919
7,0.857247763709511,0.07559386486936,219.462643934613,205.880022106234
10,0.30037289339566,0.022117121154591,218.494519404801,203.518920566809
17,0.703507016547953,0.043316657346558,218.622144247837,202.299452166228
8,0.054898941696333,0.11776087809303,223.354960104417,206.089872799588
6,0.202289861140164,0.245385705245707,224.689440158077,204.063344389821
3,0.324003657233618,0.078912429145439,205.022956916013,200.456432671526
10,0.114432759785138,0.015164367239953,204.96930957434,198.495383623444
2,0.488989507946688,0,205.780150531673,198.523554706636
10,0.493931777866819,0.059233079584461,208.654589125768,202.044640318964
10,0.538407993635859,0.039307236692964,208.98473942105,200.67711363687
6,0.373300068647369,0,207.357724462602,199.613352831143
4,0.737745279730818,0.006451135518259,208.084038331986,199.873707787755
3,0.074915617250855,0,212.051153537,200.472886545591
6,0.66548789400519,0,217.673588362171,201.931088289719
3,0.411708946073968,0,216.604005185303,200.440390049255
9,0.146853160041507,0,218.000062064848,200.501802021179
8,0.63684469721126,0.024999316874342,215.980778944179,199.556076929129
9,0.623801984449809,0,214.902806517402,198.575370579415
9,0.240892057028899,0,216.721542314974,199.841972498146
8,0.448949557052735,0.04256897042583,216.246273476279,198.563355480476
5,0.489965843717197,0.020423136710528,218.741825221771,200.903396039976
5,0.189512868823355,0.017990478742869,219.389598805889,200.800276339294
10,0.395190358147612,0.003255425805645,220.339138794339,200.807679977275
11,0.593923038205917,0.211758971133065,221.514106545246,200.697687593762
6,0.550140398796626,0.039851820099443,219.084801701562,199.760624075231
14,0.052197448581771,0.295006129096471,218.75473564627,198.986366345703
12,0.253965921311504,0.018146108665962,220.47948701924,199.310831484307
8,0.366469005565553,0.217965334380958,221.505065053117,199.506402178124
8,0.133568004417841,0.173285463603526,220.713889310949,199.163916963075
8,0.187611156836221,0.177197713465518,222.459185125738,201.297864555389
11,0.309096698237447,0.342837510850109,228.615328102254,217.289718345979
7,0.651578484500222,0.185707002505798,229.716277493278,218.145475464648
3,0.257388671597406,0.232445417793957,228.23612608935,216.826131501243
8,0.24137806484115,0.503581788650103,228.095995545967,215.537156428831
3,0.30506490288822,0.563580610571989,228.14402269793,214.205557736258
9,0.441479068025028,0.096087733951791,229.353747794053,212.710467239384
7,0.613292125798638,0.002629604989172,227.527525683831,211.403095080673
7,0.181905193482368,0.26163185487612,226.673558832113,210.895898237514
4,0.822925177562963,0.035942596561122,227.084193297163,210.883226179906
5,0.301066740181019,0.37322296264496,228.463843530857,211.242928994975
6,0.416887010625483,0.022420315495688,229.633711704167,211.908856592529
9,0.438163510852438,9.13762735999e-4,229.270067605304,210.538679596891
3,0.520880381100545,0.372906841571957,231.41153741904,211.254916642249
2,0.485619875789438,0.44454341578727,232.829102384507,211.471108543376
1,0.118140929106265,0.261715877533808,233.519745153955,211.921215641933
9,0.076770457514115,0.541434944623631,234.664110587411,211.529666997415
5,0.557513588869212,0.080082708707973,228.016250244075,210.116825470941
5,0.390759194683692,0.226113148949314,227.822561590899,208.809930715485
7,0.3137155381918,0.353653764971031,229.560700483036,209.08212285606
9,0.196738109250204,0.101030597888008,226.427726715071,207.637613745794
11,0.120738910176588,0,227.894035231754,208.054007303125
7,0.199550260252839,0.094610619583985,228.697055246795,207.342733158653
5,0.481904016280245,0.348687172139544,229.482671852105,207.800410592153
9,0.119358212654253,0.417168586159651,231.242276708329,207.58863175187
3,0.420265748498091,0.00762321204544,230.7475445212,206.759342786313
13,0.340362312666828,0.066620322422259,231.413764023887,206.473574498824
2,0.389358812820288,0.22135747048566,232.378266171899,206.884897445251
3,0.088595110223195,0.146683457672303,237.639833904452,210.046429653659
2,0.168533852249303,0.722336639663194,238.929765467033,208.175471728908
7,0.22188733074692,0.958819437675011,240.835347808779,208.365421972943
8,0.311237820957865,0.929777419805353,240.913294469586,207.868790189891
4,0.52313469957026,0.805904675791075,242.827513691004,208.164811096542
5,0.349430998633473,0.447565999043066,243.395717369359,207.668134692513
2,0.017051094754169,0.320015294662557,247.054143822951,206.792421698958
11,0.118294012864967,0,227.62197822981,206.126604790574
4,0.253769363217221,0.154091211696475,228.218897127195,202.637755089362
1,0.340621050466506,0,230.733952098725,205.579421385665
6,0.420877357384296,0.017586695878432,231.554992995657,205.928933006253
